======================================================================
SIMPLIFIED TABLE: SITE CODE | SITE NAME | OFFERING STAND
======================================================================
Site Code    Site Name          Stand   
M24          Mohenjo-daro       34      
M25          Mohenjo-daro       n/a     
M26          Mohenjo-daro       79      
M27          Mohenjo-daro       46      
M28          Mohenjo-daro       27      
M29          Mohenjo-daro       56      
M3           Mohenjo-daro       39      
M30          Mohenjo-daro       73      
M31          Mohenjo-daro       40      
M32          Mohenjo-daro       25      
M33          Mohenjo-daro       40      
M34          Mohenjo-daro       40      
M35          Mohenjo-daro       80      
M36          Mohenjo-daro       40      
M37          Mohenjo-daro       40      
M38          Mohenjo-daro       40      
M39          Mohenjo-daro       4       
M4           Mohenjo-daro       36      
M40          Mohenjo-daro       76      
M41          Mohenjo-daro       56      
M42          Mohenjo-daro       58      
M43          Mohenjo-daro       81      
M44          Mohenjo-daro       62      
M45          Mohenjo-daro       82      
M46          Mohenjo-daro       83      
M47          Mohenjo-daro       84      
M48          Mohenjo-daro       85      
M49          Mohenjo-daro       84      
M5           Mohenjo-daro       36      
M50          Mohenjo-daro       53      
M51          Mohenjo-daro       81      
M52          Mohenjo-daro       62      
M53          Mohenjo-daro       20      
M54          Mohenjo-daro       38      
M55          Mohenjo-daro       39      
M56          Mohenjo-daro       36      
M57          Mohenjo-daro       37      
M58          Mohenjo-daro       86      
M59          Mohenjo-daro       42      
M595         Mohenjo-daro       39      
M6           Mohenjo-daro       42      
M60          Mohenjo-daro       66      
M61          Mohenjo-daro       29      
M62          Mohenjo-daro       5       
M624         Mohenjo-daro       78      
M629         Mohenjo-daro       30      
M63          Mohenjo-daro       33      
M631         Mohenjo-daro       110     
M633         Mohenjo-daro       42      
M64          Mohenjo-daro       34      
M644         Mohenjo-daro       27b     
M649         Mohenjo-daro       81      
M65          Mohenjo-daro       35      
M653         Mohenjo-daro       n/a     
M66          Mohenjo-daro       64      
M662         Mohenjo-daro       28      
M67          Mohenjo-daro       34      
M670         Mohenjo-daro       30      
M672         Mohenjo-daro       41      
M673         Mohenjo-daro       65      
M675         Mohenjo-daro       42      
M676         Mohenjo-daro       73      
M677         Mohenjo-daro       42      
M678         Mohenjo-daro       111     
M68          Mohenjo-daro       33      
M69          Mohenjo-daro       81      
M699         Mohenjo-daro       59      
M7           Mohenjo-daro       73      
M70          Mohenjo-daro       62      
M700         Mohenjo-daro       32      
M705         Mohenjo-daro       53      
M709         Mohenjo-daro       39      
M71          Mohenjo-daro       39      
M72          Mohenjo-daro       n/a     
M723         Mohenjo-daro       n/a     
M729         Mohenjo-daro       34      
M73          Mohenjo-daro       1       
M732         Mohenjo-daro       48      
M734         Mohenjo-daro       35      
M74          Mohenjo-daro       44      
M740         Mohenjo-daro       33      
M75          Mohenjo-daro       87      
M751         Mohenjo-daro       73      
M752         Mohenjo-daro       73      
M76          Mohenjo-daro       n/a     
M77          Mohenjo-daro       16      
M78          Mohenjo-daro       16      
